布魔方产品型号	颜色-红	颜色-黄	颜色-蓝	颜色-绿	颜色-咖	颜色-黑白灰	风格-美式	风格-欧式	风格-中式	风格-现代	风格-混搭	工艺-提花	工艺-绣花	工艺-印花	工艺-素织物	工艺-其他	材质-棉麻	材质-雪尼尔	材质-涤丝经面	材质-羊毛混纺	材质-其他	应用-沙发	应用-窗帘	应用-墙布	应用-抱枕	应用-床品	应用-其他	价格-单幅	价格-宽幅	成分(%)	每平方克重(g/㎡±5%)	幅宽-单幅（±2cm）	幅宽-宽幅（±2cm）	花型尺寸-横向（cm）	花型尺寸-纵向（cm）	原产地	水洗标-可水洗	水洗标-不可机洗	水洗标-可加干洗剂干洗	水洗标-不可干洗	可滚筒烘干	不可滚筒烘干	水洗标-低温熨烫	水洗标-不可熨烫	水洗标-可漂白	水洗标-不可漂白	花型图-1600px*800px	花型图-800px*800px	质地图-1600px*800px	质地图-800px*800px	质地图-400px*200px	质地图-400px*400px	搭配面料1	搭配面料2	搭配面料3	搭配面料4	搭配面料5	搭配面料6	检测报告
FHJ0015-11	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-11-D1	FHJ0015-11-D2	FHJ0015-11-Q1	FHJ0015-11-Q2	FHJ0015-11-Q3	FHJ0015-11-Q4	FHJ0016-01	FHJ0017-50					
FHJ0016-01	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	78%涤纶 22%粘胶	440	144	288	72	65	中国	0	1	1	0	0	1	1	0	0	1	FHJ0016-01-D1	FHJ0016-01-D2	FHJ0016-01-Q1	FHJ0016-01-Q2	FHJ0016-01-Q3	FHJ0016-01-Q4	FHJ0018-10	FHJ0017-50	FHJ0015-11				
FHJ0016-20	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	78%涤纶 22%粘胶	440	144	288	72	65	中国	0	1	1	0	0	1	1	0	0	1	FHJ0016-20-D1	FHJ0016-20-D2	FHJ0016-20-Q1	FHJ0016-20-Q2	FHJ0016-20-Q3	FHJ0016-20-Q4	FHJ0059-43	FHJ0003-20	FHJ0041-30				
FHJ0016-30	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	78%涤纶 22%粘胶	440	144	288	72	65	中国	0	1	1	0	0	1	1	0	0	1	FHJ0016-30-D1	FHJ0016-30-D2	FHJ0016-30-Q1	FHJ0016-30-Q2	FHJ0016-30-Q3	FHJ0016-30-Q4	FHJ0015-11	FHJ0017-11	FHJ0018-51				
FHD0001-40	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-40-D1	FHD0001-40-D2	FHD0001-40-Q1	FHD0001-40-Q2	FHD0001-40-Q3	FHD0001-40-Q4	FHJ0003-41	FHJ0039-03	FHD0006-53	FHJ0015-11			
FHD0001-30	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-30-D1	FHD0001-30-D2	FHD0001-30-Q1	FHD0001-30-Q2	FHD0001-30-Q3	FHD0001-30-Q4	FHJ0007-01	FHJ0039-40	FHJ0041-04				
FHD0001-01	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-01-D1	FHD0001-01-D2	FHD0001-01-Q1	FHD0001-01-Q2	FHD0001-01-Q3	FHD0001-01-Q4	FHJ0041-04	FHJ0041-10	FHJ0017-30	FHJ0004-30			
FHD0001-03	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-03-D1	FHD0001-03-D2	FHD0001-03-Q1	FHD0001-03-Q2	FHD0001-03-Q3	FHD0001-03-Q4	FHJ0007-02	FHD0001-33	FHJ0041-04	FHJ0041-33			
FHD0001-33	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-33-D1	FHD0001-33-D2	FHD0001-33-Q1	FHD0001-33-Q2	FHD0001-33-Q3	FHD0001-33-Q4	FHJ0041-04	FHJ0041-33	FHD0001-03	FHJ0007-02			
FHD0001-11	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-11-D1	FHD0001-11-D2	FHD0001-11-Q1	FHD0001-11-Q2	FHD0001-11-Q3	FHD0001-11-Q4	FHJ0002-10	FHJ0041-04	FHD0006-53				
FHD0001-50	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-50-D1	FHD0001-50-D2	FHD0001-50-Q1	FHD0001-50-Q2	FHD0001-50-Q3	FHD0001-50-Q4	FHJ0005-01	FHJ0015-42	FHJ0041-04	FHJ0005-03	FHJ0015-50		
FHD0001-42	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	456	140	0	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHD0001-42-D1	FHD0001-42-D2	FHD0001-42-Q1	FHD0001-42-Q2	FHD0001-42-Q3	FHD0001-42-Q4	FHJ0004-40	FHJ0041-04	FHJ0040-43				
FHJ0017-50	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-50-D1	FHJ0017-50-D2	FHJ0017-50-Q1	FHJ0017-50-Q2	FHJ0017-50-Q3	FHJ0017-50-Q4	FHJ0016-01	FHJ0015-11					
FHJ0017-30	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-30-D1	FHJ0017-30-D2	FHJ0017-30-Q1	FHJ0017-30-Q2	FHJ0017-30-Q3	FHJ0017-30-Q4	FHJ0041-04	FHJ0041-10	FHD0001-01	FHJ0004-30			
FHJ0017-01	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-01-D1	FHJ0017-01-D2	FHJ0017-01-Q1	FHJ0017-01-Q2	FHJ0017-01-Q3	FHJ0017-01-Q4	FHJ0003-01	FHJ0017-50	FHJ0004-50				
FHJ0017-11	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	7%涤纶 63%粘胶 30%棉	487	140	280	18	17.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0017-11-D1	FHJ0017-11-D2	FHJ0017-11-Q1	FHJ0017-11-Q2	FHJ0017-11-Q3	FHJ0017-11-Q4	FHJ0016-30	FHJ0015-11	FHJ0018-51				
FHJ0018-50	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-50-D1	FHJ0018-50-D2	FHJ0018-50-Q1	FHJ0018-50-Q2	FHJ0018-50-Q3	FHJ0018-50-Q4	FHJ0006-50	FHJ0041-04	FHJ0074-10	FHJ0036-50			
FHJ0018-40	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-40-D1	FHJ0018-40-D2	FHJ0018-40-Q1	FHJ0018-40-Q2	FHJ0018-40-Q3	FHJ0018-40-Q4	FHJ0006-40	FHD0001-11	FHJ0074-40				
FHJ0018-51	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-51-D1	FHJ0018-51-D2	FHJ0018-51-Q1	FHJ0018-51-Q2	FHJ0018-51-Q3	FHJ0018-51-Q4	FHJ0017-11	FHJ0015-11	FHJ0016-30				
FHJ0018-10	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	50%涤纶50%粘胶	457	144	288	72	40	中国	0	1	1	0	0	1	1	0	0	1	FHJ0018-10-D1	FHJ0018-10-D2	FHJ0018-10-Q1	FHJ0018-10-Q2	FHJ0018-10-Q3	FHJ0018-10-Q4	FHJ0016-30	FHD0001-11	FHJ0041-51	FHJ0005-40			
